uUser Input,Feedback
창이에서 부기스까지 지하철로 얼마나 걸려요?,"In Singapore, MRT (Mass Rapid Transit) is the preferred term for the subway."
감사합니다! 여기에 와서 교통에 대해 많이 배웠어요.,You're doing great! Enjoy your travels in Singapore
지하철로 서울역에서 강남역까지 이동하는 것의 환경적 이점은 무엇입니까?,Good use of 으로/로 에서-까지 to frame your question!
"그럼, 버스로 이동하면 어떤 환경적인 이점이 있습니까?",Well done with the structure of your question using 으로/로!
서울시는 자전거를 활용한 교통 확장에 대한 계획이 있습니까?,Good approach in discussing a green mode of transport!
그것은 훌륭한 계획입니다. 자전거는 환경을 보호하는 데 큰 도움이 됩니다.,Well said! Bicycles indeed have a positive impact on the environment.
지하철로 서울역에서 강남역까지 어떻게 가요?,Feedback: Good use of 으로/로 에서-까지 in your question!
버스로 갈 수 있습니까?,Feedback: Great job using 으로/로 in your question!
서울에 자전거는 어떻습니까?,Feedback: Nice question about another mode of transport!
자전거 좋아요! 환경에도 좋습니다.,Feedback: Well said! Bicycles are indeed eco-friendly.
지하철은 환경 by 어떻습니까?,"Feedback: Minor error. Use ""에 대해"" instead of ""by"". So, ""지하철은 환경에 대해 어떻습니까?"""
버스로 도쿄역 from-to 신주쿠역 가요?,"Feedback: Slight mix-up. Use ""으로"" and ""에서-까지"". So, ""버스로 도쿄역에서 신주쿠역까지 가요?"""
자전거 towards 좋습니까?,"Feedback: You're close! Use ""으로"" instead of ""towards"". So, ""자전거로 좋습니까?"""
그렇군요! 도쿄에 green 교통 수단을 사용해야 합니다.,"Feedback: Small mistake. Replace ""green"" with ""녹색"". So, ""도쿄에 녹색 교통 수단을 사용해야 합니다."""
"네, 대학교 by 어떻게 가요?","Feedback: Use ""으로"" instead of ""by"". So, ""대학교로 어떻게 가요?"""
지하철로 신촌역 from-to 명동역 어떻게 가요?,"Feedback: Nice! Just adjust the order a bit: ""지하철로 신촌역에서 명동역까지 어떻게 가요?"""
버스 towards 가격이 얼마입니까?,"Feedback: Use ""으로"" instead of ""towards"". So, ""버스로 가격이 얼마입니까?"""
대학생들에게 가장 좋은 교통 카드는 무엇입니까?,Feedback: Perfect use of the grammar! Keep it up!
T-money 카드를 어디서 구매하나요?,Feedback: Great question! Your sentence structure is correct.
감사합니다. 정보가 많이 도움이 되었습니다.,Feedback: Well done! You've used the formal ending appropriately.
T-money 카드는 어디에서 구매하나요?,"Feedback: You almost got it! The correct form is ""어디서 구매하나요?"" instead of ""어디에서 구매하나요?""."
편의점이 어떤 도로로 갑니까?,"Feedback: Minor error. It should be ""편의점으로 어떤 길로 가야 합니까?"""
감사해. 너무 도움 됐습니다.,"Feedback: Remember to maintain formality. It should be ""감사합니다. 너무 도움이 되었습니다."""
해운대 가고 싶다요. 어떻게 가야 합니까?,"Just a small mistake! It should be ""해운대로 가고 싶습니다."" instead of ""해운대 가고 싶다요.""."
감사합니다! 지하철 역 어디 있어 주다?,"Good attempt! The correct form is ""지하철 역은 어디에 있습니까?""."
다른 관광지도 추천해 주다?,"It's close! Try ""다른 관광지도 추천해 주십시오?""."
"네, 감사해 주다! [End of conversation]","Nice effort! The correct phrase is ""네, 감사드립니다!""."
"네, 부산타워 가려고요. 어떻게 갈 수 있습니까?","A minor slip! Use ""부산타워로 가려고 합니다."" instead of ""부산타워 가려고요.""."
"아, 그렇군요! 지하철 티켓 얼마에요 주다?","Almost there! Try ""지하철 티켓은 얼마입니까?""."
광안대교 보고 싶어 주다.,"Good attempt! The correct phrase is ""광안대교를 보고 싶습니다.""."
고마워요! 도움 많이 주다! [End of conversation],"Close! The accurate sentence is ""도와주셔서 감사합니다!""."
"네, 카페를 여실까 생각하고 있어요. 바닷가 근처의 위치가 좋을 것 같아 주다.","Feedback: Close! The correct phrase would be ""바닷가 근처가 좋을 것 같습니다.""."
임대료가 높아도 괜찮아 주다. 광안리에 더 자세히 알아보자 주다.,"Feedback: You're getting there! Try ""임대료가 높아도 괜찮습니다. 광안리에 더 자세히 알아보겠습니다.""."
"네, 그럼 견적을 받아 볼까 주다.","Feedback: Well done! Just a small correction: ""네, 그럼 견적을 받아 보겠습니다."" would be more accurate."
고마워 주다. 기다리겠어요. [End of convesation],"Feedback: Almost perfect! It should be ""고맙습니다. 기다리겠습니다.""."
